,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
0,0,0.3632488548755646,2025-01-28 04:22:02.156433,2025-01-28 04:23:30.557591,0 days 00:01:28.401158,8.0,7,0.9658118084445251,0.9318563294010559,17,8.307341815284441e-06,,,0.0009472961959721175,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
1,1,0.32568225264549255,2025-01-28 04:23:30.585198,2025-01-28 04:24:41.672275,0 days 00:01:11.087077,,6,0.9169765854389738,0.9282853454922604,13,,,0.16714116943161034,0.0004904539339172869,,,Adam,,random,StepLR,5.0,,COMPLETE
2,2,0.019801979884505272,2025-01-28 04:24:41.699512,2025-01-28 04:25:55.145243,0 days 00:01:13.445731,,8,,,17,,,0.17734318931932058,0.004241247429282568,,0.9492067843282642,RMSprop,,freezing,StepLR,5.0,0.1260926568334326,COMPLETE
3,3,0.0076161460019648075,2025-01-28 04:25:55.164116,2025-01-28 04:26:51.183489,0 days 00:00:56.019373,,8,,,13,,,0.056083539958035666,0.04948808716982222,,0.9468789822431335,SGD,,freezing,StepLR,5.0,5.129973236412686e-05,COMPLETE
4,4,0.3959002196788788,2025-01-28 04:26:51.209385,2025-01-28 04:28:20.705729,0 days 00:01:29.496344,,6,,,17,,,,0.02344308086614435,0.004548729885792942,0.9727457317944981,SGD,,fine_tuning,OneCycleLR,,4.760099310748672e-05,COMPLETE
5,5,0.0,2025-01-28 04:28:20.731963,2025-01-28 04:28:44.483698,0 days 00:00:23.751735,,7,,,17,,0.2973243346544745,,0.0012548593198908888,,0.9780810792026231,RMSprop,3.0,fine_tuning,ReduceLROnPlateau,,0.5380377852807633,PRUNED
6,6,0.4829568564891815,2025-01-28 04:28:44.500014,2025-01-28 04:30:05.183572,0 days 00:01:20.683558,5.0,7,,,16,4.0935047202991817e-07,,,0.016998759580392438,,0.9201578015051693,SGD,,fine_tuning,CosineAnnealingLR,,1.0003658748852571e-05,COMPLETE
7,7,0.0,2025-01-28 04:30:05.201786,2025-01-28 04:30:28.339906,0 days 00:00:23.138120,,6,,,17,,0.29754314502094625,,0.0035675054331891385,,0.9775188644231251,RMSprop,2.0,freezing,ReduceLROnPlateau,,0.10566344366433493,PRUNED
8,8,0.0,2025-01-28 04:30:28.355837,2025-01-28 04:30:51.803686,0 days 00:00:23.447849,,7,,,14,,0.13439332022060319,,0.0010523472087119428,,0.902710004059513,RMSprop,4.0,random,ReduceLROnPlateau,,0.11239553251294436,PRUNED
9,9,0.0037803780287504196,2025-01-28 04:30:51.820036,2025-01-28 04:31:18.565675,0 days 00:00:26.745639,12.0,7,,,18,8.368075421103245e-07,,,0.04198573470793485,,0.9163819443057865,SGD,,freezing,CosineAnnealingLR,,3.626824917046231e-05,PRUNED
10,10,0.48108819127082825,2025-01-28 04:31:18.581639,2025-01-28 04:33:12.047786,0 days 00:01:53.466147,5.0,4,0.8384084637388263,0.9966465871541936,20,1.2726349105392805e-07,,,0.0001727935630014265,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.001305443110763528,COMPLETE
11,11,0.4701971113681793,2025-01-28 04:33:12.069284,2025-01-28 04:35:07.277724,0 days 00:01:55.208440,5.0,4,0.8132826859576652,0.9981630949532025,20,1.0373933550020707e-07,,,0.00011006134382628895,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.001219332330568898,COMPLETE
12,12,0.4683853089809418,2025-01-28 04:35:07.304799,2025-01-28 04:36:05.660825,0 days 00:00:58.356026,5.0,4,0.8165133763101086,0.9988745754088791,10,1.3628971680225684e-07,,,0.0001785101188525541,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0012591873389691888,COMPLETE
13,13,0.4778706729412079,2025-01-28 04:36:05.687140,2025-01-28 04:37:53.224075,0 days 00:01:47.536935,8.0,5,0.8706860898410334,0.9643756805958033,20,4.4983760781013313e-07,,,0.0003921279387881188,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0011847836434812024,COMPLETE
14,14,0.0,2025-01-28 04:37:53.251229,2025-01-28 04:38:20.409318,0 days 00:00:27.158089,,5,,,10,,,,0.015169319217863849,0.00010254561856137388,0.9251752004622653,SGD,,fine_tuning,OneCycleLR,,1.1831466490054087e-05,PRUNED
15,15,0.0,2025-01-28 04:38:20.425165,2025-01-28 04:38:54.803416,0 days 00:00:34.378251,15.0,5,0.8730783425289482,0.9652082338983423,15,3.465245284868127e-07,,,0.0030578644379907643,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0025655884291418333,PRUNED
16,16,0.23471970856189728,2025-01-28 04:38:54.819975,2025-01-28 04:39:31.549617,0 days 00:00:36.729642,7.0,4,,,19,2.8985024542695094e-06,,,0.013892198156415863,,0.9285446680004956,SGD,,random,CosineAnnealingLR,,0.0002022939014012907,PRUNED
17,17,0.0,2025-01-28 04:39:31.564533,2025-01-28 04:40:04.330359,0 days 00:00:32.765826,11.0,5,0.9979943472173918,0.9082256257207966,12,2.576032251259881e-07,,,0.0002667988092641018,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0029486936010603136,PRUNED
18,18,0.34668779373168945,2025-01-28 04:40:04.347474,2025-01-28 04:40:35.059658,0 days 00:00:30.712184,,7,0.8497967262211784,0.9732911167754955,15,,,,0.001882516766872007,0.00028820919478023745,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
19,19,0.13196758925914764,2025-01-28 04:40:35.076152,2025-01-28 04:41:06.955839,0 days 00:00:31.879687,5.0,8,0.9056183243012669,0.9795504094990028,19,1.0674966921495617e-06,,,0.00010294181735982667,,,AdamW,,random,CosineAnnealingLR,,0.004374896478117527,PRUNED
20,20,0.48164647817611694,2025-01-28 04:41:06.972789,2025-01-28 04:42:31.363770,0 days 00:01:24.390981,7.0,6,,,16,1.740325279691276e-07,,,0.009822489042272276,,0.9036154357682028,SGD,,fine_tuning,CosineAnnealingLR,,1.0295130595142036e-05,COMPLETE
