,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
0,0,0.5685085654258728,2025-01-27 09:55:19.750009,2025-01-27 09:57:24.064413,0 days 00:02:04.314404,8.0,7,0.9658118084445251,0.9318563294010559,17,8.307341815284441e-06,,,0.0009472961959721175,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
1,1,0.5456192493438721,2025-01-27 09:57:24.095663,2025-01-27 09:59:02.689158,0 days 00:01:38.593495,,6,0.9169765854389738,0.9282853454922604,13,,,0.16714116943161034,0.0004904539339172869,,,Adam,,random,StepLR,5.0,,COMPLETE
2,2,0.059384785592556,2025-01-27 09:59:02.713659,2025-01-27 10:00:49.449457,0 days 00:01:46.735798,,8,,,17,,,0.17734318931932058,0.004241247429282568,,0.9492067843282642,RMSprop,,freezing,StepLR,5.0,0.1260926568334326,COMPLETE
3,3,0.039273928850889206,2025-01-27 10:00:49.475559,2025-01-27 10:02:11.417128,0 days 00:01:21.941569,,8,,,13,,,0.056083539958035666,0.04948808716982222,,0.9468789822431335,SGD,,freezing,StepLR,5.0,5.129973236412686e-05,COMPLETE
4,4,0.5564243793487549,2025-01-27 10:02:11.435613,2025-01-27 10:04:17.933142,0 days 00:02:06.497529,,6,,,17,,,,0.02344308086614435,0.004548729885792942,0.9727457317944981,SGD,,fine_tuning,OneCycleLR,,4.760099310748672e-05,COMPLETE
5,5,0.0,2025-01-27 10:04:17.951915,2025-01-27 10:04:51.263825,0 days 00:00:33.311910,,7,,,17,,0.2973243346544745,,0.0012548593198908888,,0.9780810792026231,RMSprop,3.0,fine_tuning,ReduceLROnPlateau,,0.5380377852807633,PRUNED
6,6,0.6086618304252625,2025-01-27 10:04:51.280220,2025-01-27 10:06:47.991196,0 days 00:01:56.710976,5.0,7,,,16,4.0935047202991817e-07,,,0.016998759580392438,,0.9201578015051693,SGD,,fine_tuning,CosineAnnealingLR,,1.0003658748852571e-05,COMPLETE
7,7,0.003795379539951682,2025-01-27 10:06:48.018124,2025-01-27 10:07:27.186979,0 days 00:00:39.168855,,6,,,17,,0.29754314502094625,,0.0035675054331891385,,0.9775188644231251,RMSprop,2.0,freezing,ReduceLROnPlateau,,0.10566344366433493,PRUNED
8,8,0.0,2025-01-27 10:07:27.203262,2025-01-27 10:08:00.797665,0 days 00:00:33.594403,,7,,,14,,0.13439332022060319,,0.0010523472087119428,,0.902710004059513,RMSprop,4.0,random,ReduceLROnPlateau,,0.11239553251294436,PRUNED
9,9,0.014391545206308365,2025-01-27 10:08:00.814427,2025-01-27 10:08:40.178044,0 days 00:00:39.363617,12.0,7,,,18,8.368075421103245e-07,,,0.04198573470793485,,0.9163819443057865,SGD,,freezing,CosineAnnealingLR,,3.626824917046231e-05,PRUNED
10,10,0.6379993557929993,2025-01-27 10:08:40.194607,2025-01-27 10:11:14.111382,0 days 00:02:33.916775,5.0,4,0.8384084637388263,0.9966465871541936,20,1.2726349105392805e-07,,,0.0001727935630014265,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.001305443110763528,COMPLETE
11,11,0.5423600077629089,2025-01-27 10:11:14.142013,2025-01-27 10:13:40.245541,0 days 00:02:26.103528,5.0,4,0.8132826859576652,0.9981630949532025,20,1.0373933550020707e-07,,,0.00011006134382628895,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.001219332330568898,PRUNED
12,12,0.6377139687538147,2025-01-27 10:13:40.262750,2025-01-27 10:14:57.845580,0 days 00:01:17.582830,5.0,4,0.8165133763101086,0.9988745754088791,10,1.3628971680225684e-07,,,0.0001785101188525541,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0012591873389691888,COMPLETE
13,13,0.5899093747138977,2025-01-27 10:14:57.868218,2025-01-27 10:16:14.741310,0 days 00:01:16.873092,8.0,4,0.8089431437663054,0.9988901761455922,10,1.4164235409194877e-07,,,0.00010816347145553865,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.002041295757889466,COMPLETE
14,14,0.3869437575340271,2025-01-27 10:16:14.762161,2025-01-27 10:17:02.027009,0 days 00:00:47.264848,,5,0.858112798285711,0.9723435955019767,10,,,,0.00024234969477300903,0.00011651399160823201,,AdamW,,fine_tuning,OneCycleLR,,0.001847916758811097,PRUNED
15,15,0.5925406813621521,2025-01-27 10:17:02.041854,2025-01-27 10:19:21.264058,0 days 00:02:19.222204,15.0,5,0.8626482234007193,0.9673810360686694,20,2.415646768851557e-07,,,0.0002318219801721252,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0016647546529857955,PRUNED
16,16,0.4181616008281708,2025-01-27 10:19:21.284660,2025-01-27 10:20:10.227795,0 days 00:00:48.943135,7.0,5,0.8490068998680067,0.9764160564433794,12,2.8900428196053163e-06,,,0.00023553330907664078,,,AdamW,,random,CosineAnnealingLR,,0.002994927151971632,PRUNED
17,17,0.6060277819633484,2025-01-27 10:20:10.243233,2025-01-27 10:21:37.273232,0 days 00:01:27.029999,5.0,4,0.8002578520211981,0.9093478375347003,11,4.2330934268168284e-07,,,0.000373926754044168,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0013423146737697267,COMPLETE
18,18,0.524631917476654,2025-01-27 10:21:37.296102,2025-01-27 10:22:26.232692,0 days 00:00:48.936590,,4,0.8925112331255509,0.9858101308248687,15,,,,0.00015786413398880873,0.00039514321032304564,,AdamW,,fine_tuning,OneCycleLR,,0.0027378299879323447,PRUNED
19,19,0.5205038785934448,2025-01-27 10:22:26.249742,2025-01-27 10:23:14.557540,0 days 00:00:48.307798,11.0,5,0.8346983338084848,0.9548931056079518,19,1.0267054077437612e-07,,,0.0004377437611767195,,,AdamW,,random,CosineAnnealingLR,,0.0011623053256424123,PRUNED
20,20,0.6255864500999451,2025-01-27 10:23:14.574223,2025-01-27 10:25:10.640802,0 days 00:01:56.066579,7.0,4,0.8991211419506533,0.9864091316714159,15,1.1490527328226333e-06,,,0.0007228277495540667,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
21,21,0.6309571266174316,2025-01-27 10:25:10.659267,2025-01-27 10:27:05.338012,0 days 00:01:54.678745,7.0,4,0.9148462919921486,0.9874143540924012,15,1.2915751431341217e-06,,,0.0006350492693480903,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
22,22,0.0,2025-01-27 10:27:05.360400,2025-01-27 10:27:46.818857,0 days 00:00:41.458457,5.0,5,0.9371930755423314,0.9979130724675431,12,1.460453488959315e-06,,,0.001717490544102587,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
23,23,0.6189944744110107,2025-01-27 10:27:46.835938,2025-01-27 10:29:34.096713,0 days 00:01:47.260775,7.0,4,0.8795485914779264,0.9848891421495745,14,3.015959517012679e-06,,,0.0001648027133055897,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
24,24,0.6207123398780823,2025-01-27 10:29:34.118708,2025-01-27 10:31:56.518170,0 days 00:02:22.399462,6.0,4,0.9274800310721563,0.9589740708222846,19,2.082338672907974e-07,,,0.000333509044226889,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
25,25,0.5745380520820618,2025-01-27 10:31:56.535530,2025-01-27 10:32:49.293215,0 days 00:00:52.757685,8.0,5,0.8305076213471424,0.9857342942743461,11,4.0176308119628625e-07,,,0.0006414357254940038,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.004283748457029182,PRUNED
