,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
0,0,0.0,2025-01-26 22:25:51.032004,2025-01-26 22:27:41.789134,0 days 00:01:50.757130,8.0,7,0.9658118084445251,0.9318563294010559,17,8.307341815284441e-06,,,0.0009472961959721175,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
1,1,0.5374061465263367,2025-01-26 22:27:41.806746,2025-01-26 22:32:30.064244,0 days 00:04:48.257498,,6,0.9169765854389738,0.9282853454922604,13,,,0.16714116943161034,0.0004904539339172869,,,Adam,,random,StepLR,5.0,,COMPLETE
2,2,0.0,2025-01-26 22:32:30.093198,2025-01-26 22:33:50.669687,0 days 00:01:20.576489,,8,,,17,,,0.17734318931932058,0.004241247429282568,,0.9492067843282642,RMSprop,,freezing,StepLR,5.0,0.1260926568334326,PRUNED
3,3,0.12720252573490143,2025-01-26 22:33:50.686437,2025-01-26 22:36:44.681276,0 days 00:02:53.994839,,8,,,13,,,0.056083539958035666,0.04948808716982222,,0.9468789822431335,SGD,,freezing,StepLR,5.0,5.129973236412686e-05,COMPLETE
4,4,0.6939024925231934,2025-01-26 22:36:44.707966,2025-01-26 22:42:59.305368,0 days 00:06:14.597402,,6,,,17,,,,0.02344308086614435,0.004548729885792942,0.9727457317944981,SGD,,fine_tuning,OneCycleLR,,4.760099310748672e-05,COMPLETE
5,5,0.0,2025-01-26 22:42:59.324368,2025-01-26 22:44:33.002129,0 days 00:01:33.677761,,7,,,17,,0.2973243346544745,,0.0012548593198908888,,0.9780810792026231,RMSprop,3.0,fine_tuning,ReduceLROnPlateau,,0.5380377852807633,PRUNED
6,6,0.7595766186714172,2025-01-26 22:44:33.018585,2025-01-26 22:50:27.431096,0 days 00:05:54.412511,5.0,7,,,16,4.0935047202991817e-07,,,0.016998759580392438,,0.9201578015051693,SGD,,fine_tuning,CosineAnnealingLR,,1.0003658748852571e-05,COMPLETE
7,7,0.015558699145913124,2025-01-26 22:50:27.457256,2025-01-26 22:54:16.446262,0 days 00:03:48.989006,,6,,,17,,0.29754314502094625,,0.0035675054331891385,,0.9775188644231251,RMSprop,2.0,freezing,ReduceLROnPlateau,,0.10566344366433493,COMPLETE
8,8,0.0,2025-01-26 22:54:16.472698,2025-01-26 22:55:50.124372,0 days 00:01:33.651674,,7,,,14,,0.13439332022060319,,0.0010523472087119428,,0.902710004059513,RMSprop,4.0,random,ReduceLROnPlateau,,0.11239553251294436,PRUNED
9,9,0.13372980058193207,2025-01-26 22:55:50.139851,2025-01-26 22:57:12.141768,0 days 00:01:22.001917,12.0,7,,,18,8.368075421103245e-07,,,0.04198573470793485,,0.9163819443057865,SGD,,freezing,CosineAnnealingLR,,3.626824917046231e-05,PRUNED
10,10,0.751297116279602,2025-01-26 22:57:12.157910,2025-01-26 23:04:42.360001,0 days 00:07:30.202091,5.0,4,0.8384084637388263,0.9966465871541936,20,1.2726349105392805e-07,,,0.0001727935630014265,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.001305443110763528,COMPLETE
11,11,0.7660157084465027,2025-01-26 23:04:42.379093,2025-01-26 23:12:11.710435,0 days 00:07:29.331342,5.0,4,0.8132826859576652,0.9981630949532025,20,1.0373933550020707e-07,,,0.00011006134382628895,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.001219332330568898,COMPLETE
12,12,0.7452496886253357,2025-01-26 23:12:11.737125,2025-01-26 23:15:57.222366,0 days 00:03:45.485241,5.0,4,0.8148764525087936,0.9988744806221446,10,1.271892954373582e-07,,,0.0001785101188525541,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0012591873389691888,COMPLETE
13,13,0.746829628944397,2025-01-26 23:15:57.249002,2025-01-26 23:23:23.627106,0 days 00:07:26.378104,8.0,5,0.8714127513110054,0.9640767898775007,20,5.119054802509489e-07,,,0.00010976812531628848,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0011847836434812024,COMPLETE
14,14,0.0,2025-01-26 23:23:23.654111,2025-01-26 23:25:14.970642,0 days 00:01:51.316531,,5,,,10,,,,0.017131484347707296,0.00010254561856137388,0.9251752004622653,SGD,,fine_tuning,OneCycleLR,,1.1831466490054087e-05,PRUNED
15,15,0.639336347579956,2025-01-26 23:25:14.986574,2025-01-26 23:27:30.088527,0 days 00:02:15.101953,15.0,5,0.8013610220197893,0.9649201050286638,15,2.831940902454824e-07,,,0.00034069812173473266,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0025655884291418333,PRUNED
16,16,0.0,2025-01-26 23:27:30.105161,2025-01-26 23:29:06.498671,0 days 00:01:36.393510,7.0,4,,,19,2.8985024542695094e-06,,,0.011429005556281204,,0.9285446680004956,SGD,,random,CosineAnnealingLR,,0.00020478219531192877,PRUNED
17,17,0.0,2025-01-26 23:29:06.513864,2025-01-26 23:30:55.460910,0 days 00:01:48.947046,11.0,5,0.9048626018885886,0.9082256257207966,12,2.721868856380974e-07,,,0.0024178983079523857,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0029254007372684944,PRUNED
18,18,0.6824058890342712,2025-01-26 23:30:55.477319,2025-01-26 23:33:31.646549,0 days 00:02:36.169230,,7,0.9683613329569909,0.973103363405973,15,,,,0.00047993046803821457,0.00028820919478023745,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
19,19,0.0,2025-01-26 23:33:31.663319,2025-01-26 23:35:21.172252,0 days 00:01:49.508933,5.0,8,0.8661956870897728,0.9795504094990028,19,1.97755766191336e-06,,,0.0018926520102545957,,,AdamW,,random,CosineAnnealingLR,,0.004374896478117527,PRUNED
20,20,0.7478744387626648,2025-01-26 23:35:21.189095,2025-01-26 23:41:12.925041,0 days 00:05:51.735946,7.0,6,,,16,2.8075761711654535e-07,,,0.012107875192737816,,0.9036154357682028,SGD,,fine_tuning,CosineAnnealingLR,,1.0308843653640133e-05,COMPLETE
21,21,0.7791067957878113,2025-01-26 23:41:12.953612,2025-01-26 23:48:40.506054,0 days 00:07:27.552442,5.0,4,0.8371696587588211,0.9987775873854282,20,1.060835754932426e-07,,,0.00010158667655101443,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0019419825410363493,COMPLETE
22,22,0.7472524642944336,2025-01-26 23:48:40.532282,2025-01-26 23:55:46.300542,0 days 00:07:05.768260,6.0,4,0.8409018157299676,0.9861362698323977,19,1.0672186222066504e-07,,,0.000121859450863752,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0021779807858909616,COMPLETE
23,23,0.6498985886573792,2025-01-26 23:55:46.326822,2025-01-26 23:58:02.145025,0 days 00:02:15.818203,9.0,4,0.8385533199556532,0.9465707722872423,20,1.9656651548357093e-07,,,0.00022912531108645052,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0019382230958670343,PRUNED
24,24,0.7033330202102661,2025-01-26 23:58:02.162113,2025-01-27 00:00:17.023164,0 days 00:02:14.861051,6.0,5,0.8716068312846099,0.9870250581635656,18,5.879248196870493e-07,,,0.00027268763239096075,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.003577638085317036,PRUNED
25,25,0.7627602815628052,2025-01-27 00:00:17.040162,2025-01-27 00:07:01.114333,0 days 00:06:44.074171,5.0,4,0.9358324430277309,0.9542306452784934,18,1.6475626665177984e-07,,,0.00010048545816054493,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0016427352546238216,COMPLETE
26,26,0.7414030432701111,2025-01-27 00:07:01.144739,2025-01-27 00:14:09.013787,0 days 00:07:07.869048,,4,0.9293591218093961,0.9524736370996945,19,,,0.47327982481120223,0.00010547467915413987,,,AdamW,,fine_tuning,StepLR,2.0,0.0016999281803879989,COMPLETE
27,27,0.48894500732421875,2025-01-27 00:14:09.040562,2025-01-27 00:16:25.459427,0 days 00:02:16.418865,,4,0.9369035711291267,0.9988939590887985,20,,,,0.00015680199016994097,0.009774061413997333,,AdamW,,fine_tuning,OneCycleLR,,0.0015607342830557933,PRUNED
28,28,0.4210807979106903,2025-01-27 00:16:25.476219,2025-01-27 00:18:41.438871,0 days 00:02:15.962652,,5,0.8218158233113732,0.9035697414501633,18,,0.4953512352053361,,0.00039434561717806115,,,AdamW,5.0,random,ReduceLROnPlateau,,0.0015029666396395131,PRUNED
29,29,0.0689324289560318,2025-01-27 00:18:41.453994,2025-01-27 00:20:04.634080,0 days 00:01:23.180086,7.0,4,0.9932975977987532,0.9869453426823368,19,1.0369237059391076e-07,,,0.0007644143762266379,,,Adam,,freezing,CosineAnnealingLR,,,PRUNED
30,30,0.6758770942687988,2025-01-27 00:20:04.650758,2025-01-27 00:22:20.029768,0 days 00:02:15.379010,13.0,5,0.891221924695758,0.9195539758896547,18,1.8542671360261172e-07,,,0.00023390253119389835,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.002168896242733286,PRUNED
31,31,0.0,2025-01-27 00:22:20.046971,2025-01-27 00:23:55.353298,0 days 00:01:35.306327,5.0,4,,,16,1.8991205596897687e-07,,,0.019791877716872942,,0.9589062818459135,SGD,,fine_tuning,CosineAnnealingLR,,0.0006034262174762242,PRUNED
32,32,0.7210857272148132,2025-01-27 00:23:55.368782,2025-01-27 00:26:08.676997,0 days 00:02:13.308215,6.0,6,0.8013277377896815,0.9516731953985418,16,4.1767593165313215e-07,,,0.000152929561944005,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
33,33,0.5163486003875732,2025-01-27 00:26:08.693882,2025-01-27 00:28:24.467827,0 days 00:02:15.773945,5.0,4,0.9489449583004198,0.9715314005045282,20,1.7133765769083684e-07,,,0.0005833949762137931,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.004236396136296012,PRUNED
