,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
0,0,0.6554962396621704,2025-01-27 18:32:06.318206,2025-01-27 18:41:51.708428,0 days 00:09:45.390222,8.0,7,0.9658118084445251,0.9318563294010559,17,8.307341815284441e-06,,,0.0009472961959721175,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
1,1,0.3915941119194031,2025-01-27 18:41:51.735844,2025-01-27 18:49:38.588896,0 days 00:07:46.853052,,6,0.9169765854389738,0.9282853454922604,13,,,0.16714116943161034,0.0004904539339172869,,,Adam,,random,StepLR,5.0,,COMPLETE
2,2,0.10405264794826508,2025-01-27 18:49:38.619130,2025-01-27 18:54:22.386999,0 days 00:04:43.767869,,8,,,17,,,0.17734318931932058,0.004241247429282568,,0.9492067843282642,RMSprop,,freezing,StepLR,5.0,0.1260926568334326,COMPLETE
3,3,0.19754835963249207,2025-01-27 18:54:22.414614,2025-01-27 18:58:02.493182,0 days 00:03:40.078568,,8,,,13,,,0.056083539958035666,0.04948808716982222,,0.9468789822431335,SGD,,freezing,StepLR,5.0,5.129973236412686e-05,COMPLETE
4,4,0.6518693566322327,2025-01-27 18:58:02.519872,2025-01-27 19:07:19.430290,0 days 00:09:16.910418,,6,,,17,,,,0.02344308086614435,0.004548729885792942,0.9727457317944981,SGD,,fine_tuning,OneCycleLR,,4.760099310748672e-05,COMPLETE
5,5,0.0,2025-01-27 19:07:19.460372,2025-01-27 19:10:04.992415,0 days 00:02:45.532043,,7,,,17,,0.2973243346544745,,0.0012548593198908888,,0.9780810792026231,RMSprop,3.0,fine_tuning,ReduceLROnPlateau,,0.5380377852807633,PRUNED
6,6,0.7760161757469177,2025-01-27 19:10:05.012079,2025-01-27 19:18:50.153373,0 days 00:08:45.141294,5.0,7,,,16,4.0935047202991817e-07,,,0.016998759580392438,,0.9201578015051693,SGD,,fine_tuning,CosineAnnealingLR,,1.0003658748852571e-05,COMPLETE
7,7,0.0028753404039889574,2025-01-27 19:18:50.180015,2025-01-27 19:20:31.440416,0 days 00:01:41.260401,,6,,,17,,0.29754314502094625,,0.0035675054331891385,,0.9775188644231251,RMSprop,2.0,freezing,ReduceLROnPlateau,,0.10566344366433493,PRUNED
8,8,0.0,2025-01-27 19:20:31.457122,2025-01-27 19:23:30.314336,0 days 00:02:58.857214,,7,,,14,,0.13439332022060319,,0.0010523472087119428,,0.902710004059513,RMSprop,4.0,random,ReduceLROnPlateau,,0.11239553251294436,PRUNED
9,9,0.1659097671508789,2025-01-27 19:23:30.332061,2025-01-27 19:25:12.272887,0 days 00:01:41.940826,12.0,7,,,18,8.368075421103245e-07,,,0.04198573470793485,,0.9163819443057865,SGD,,freezing,CosineAnnealingLR,,3.626824917046231e-05,PRUNED
10,10,0.7268170714378357,2025-01-27 19:25:12.291255,2025-01-27 19:36:15.199658,0 days 00:11:02.908403,5.0,4,0.8384084637388263,0.9966465871541936,20,1.2726349105392805e-07,,,0.0001727935630014265,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.001305443110763528,COMPLETE
11,11,0.722079336643219,2025-01-27 19:36:15.226372,2025-01-27 19:47:17.907399,0 days 00:11:02.681027,5.0,4,0.8132826859576652,0.9981630949532025,20,1.0373933550020707e-07,,,0.00011006134382628895,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.001219332330568898,COMPLETE
12,12,0.7379414439201355,2025-01-27 19:47:17.937474,2025-01-27 19:52:49.499197,0 days 00:05:31.561723,5.0,4,0.8165133763101086,0.9988745754088791,10,1.3628971680225684e-07,,,0.0001785101188525541,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0012591873389691888,COMPLETE
13,13,0.6880541443824768,2025-01-27 19:52:49.525921,2025-01-27 19:58:20.374770,0 days 00:05:30.848849,8.0,5,0.8707471701688952,0.9639366052924087,10,4.4983760781013313e-07,,,0.0003921279387881188,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0011847836434812024,COMPLETE
14,14,0.0,2025-01-27 19:58:20.401651,2025-01-27 20:01:38.446106,0 days 00:03:18.044455,,5,,,10,,,,0.015169319217863849,0.00010254561856137388,0.9251752004622653,SGD,,fine_tuning,OneCycleLR,,1.1831466490054087e-05,PRUNED
15,15,0.7101292610168457,2025-01-27 20:01:38.465045,2025-01-27 20:08:15.995317,0 days 00:06:37.530272,15.0,5,0.8013666468512903,0.9647848203273699,12,3.536496048207866e-07,,,0.00027509254332917305,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.0025655884291418333,COMPLETE
16,16,0.2045297920703888,2025-01-27 20:08:16.025835,2025-01-27 20:11:54.320976,0 days 00:03:38.295141,7.0,4,,,15,2.632918039882891e-07,,,0.013892198156415863,,0.9285446680004956,SGD,,random,CosineAnnealingLR,,0.00020360247188624996,PRUNED
17,17,0.1381349265575409,2025-01-27 20:11:54.339724,2025-01-27 20:15:12.947865,0 days 00:03:18.608141,11.0,5,0.9048626018885886,0.9082256257207966,11,3.289434935407201e-06,,,0.0024178983079523857,,,AdamW,,fine_tuning,CosineAnnealingLR,,0.002936350480191242,PRUNED
18,18,0.6328240633010864,2025-01-27 20:15:12.968126,2025-01-27 20:18:31.057481,0 days 00:03:18.089355,,7,0.9683613329569909,0.9730140088111502,15,,,,0.0005535746416412366,0.00028820919478023745,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
19,19,0.039603959769010544,2025-01-27 20:18:31.076057,2025-01-27 20:22:04.781018,0 days 00:03:33.704961,5.0,8,0.8661956870897728,0.9795504094990028,15,1.5376199472548882e-06,,,0.00010294181735982667,,,AdamW,,random,CosineAnnealingLR,,0.004374896478117527,PRUNED
20,20,0.7721062898635864,2025-01-27 20:22:04.799265,2025-01-27 20:32:25.919972,0 days 00:10:21.120707,7.0,6,,,19,2.405352820634366e-07,,,0.00984858368139984,,0.9036154357682028,SGD,,fine_tuning,CosineAnnealingLR,,1.030219195696325e-05,COMPLETE
21,21,0.7414559125900269,2025-01-27 20:32:25.947273,2025-01-27 20:42:46.748621,0 days 00:10:20.801348,7.0,6,,,19,2.538395959476587e-07,,,0.01097758333880567,,0.9004695376397125,SGD,,fine_tuning,CosineAnnealingLR,,1.0334682674053017e-05,COMPLETE
22,22,0.7527187466621399,2025-01-27 20:42:46.775503,2025-01-27 20:53:07.980220,0 days 00:10:21.204717,7.0,6,,,19,2.669137339202579e-07,,,0.011301587205138203,,0.9019022228838534,SGD,,fine_tuning,CosineAnnealingLR,,1.065292755106599e-05,COMPLETE
23,23,0.738433837890625,2025-01-27 20:53:08.007003,2025-01-27 21:03:28.157055,0 days 00:10:20.150052,9.0,6,,,19,6.32293036502911e-07,,,0.010594174875782434,,0.913554417163203,SGD,,fine_tuning,CosineAnnealingLR,,1.948725550303225e-05,COMPLETE
