,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
0,0,0.0,2025-01-28 18:22:57.281030,2025-01-28 18:24:36.385725,0 days 00:01:39.104695,8.0,7,0.9658118084445251,0.9318563294010559,17,8.307341815284441e-06,,,0.0009472961959721175,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
1,1,0.11859556287527084,2025-01-28 18:24:36.403009,2025-01-28 18:28:58.148780,0 days 00:04:21.745771,,6,0.9169765854389738,0.9282853454922604,13,,,0.16714116943161034,0.0004904539339172869,,,Adam,,random,StepLR,5.0,,COMPLETE
2,2,0.0,2025-01-28 18:28:58.175913,2025-01-28 18:29:58.182913,0 days 00:01:00.007000,,8,,,17,,,0.17734318931932058,0.004241247429282568,,0.9492067843282642,RMSprop,,freezing,StepLR,5.0,0.1260926568334326,PRUNED
3,3,0.0,2025-01-28 18:29:58.199448,2025-01-28 18:30:58.729628,0 days 00:01:00.530180,,8,,,13,,,0.056083539958035666,0.04948808716982222,,0.9468789822431335,SGD,,freezing,StepLR,5.0,5.129973236412686e-05,PRUNED
4,4,0.5738024115562439,2025-01-28 18:30:58.745647,2025-01-28 18:36:42.181126,0 days 00:05:43.435479,,6,,,17,,,,0.02344308086614435,0.004548729885792942,0.9727457317944981,SGD,,fine_tuning,OneCycleLR,,4.760099310748672e-05,COMPLETE
5,5,0.0,2025-01-28 18:36:42.207480,2025-01-28 18:38:20.163656,0 days 00:01:37.956176,,7,,,17,,0.2973243346544745,,0.0012548593198908888,,0.9780810792026231,RMSprop,3.0,fine_tuning,ReduceLROnPlateau,,0.5380377852807633,PRUNED
6,6,0.0,2025-01-28 18:38:20.180967,2025-01-28 18:39:57.630364,0 days 00:01:37.449397,5.0,7,,,16,4.0935047202991817e-07,,,0.016998759580392438,,0.9201578015051693,SGD,,fine_tuning,CosineAnnealingLR,,1.0003658748852571e-05,PRUNED
7,7,0.0,2025-01-28 18:39:57.648196,2025-01-28 18:40:58.938503,0 days 00:01:01.290307,,6,,,17,,0.29754314502094625,,0.0035675054331891385,,0.9775188644231251,RMSprop,2.0,freezing,ReduceLROnPlateau,,0.10566344366433493,PRUNED
8,8,0.0,2025-01-28 18:40:58.955239,2025-01-28 18:42:37.681921,0 days 00:01:38.726682,,7,,,14,,0.13439332022060319,,0.0010523472087119428,,0.902710004059513,RMSprop,4.0,random,ReduceLROnPlateau,,0.11239553251294436,PRUNED
9,9,0.0,2025-01-28 18:42:37.698916,2025-01-28 18:43:39.694166,0 days 00:01:01.995250,12.0,7,,,18,8.368075421103245e-07,,,0.04198573470793485,,0.9163819443057865,SGD,,freezing,CosineAnnealingLR,,3.626824917046231e-05,PRUNED
10,10,0.5770933628082275,2025-01-28 18:43:39.710524,2025-01-28 18:50:35.086926,0 days 00:06:55.376402,,4,0.8384084637388263,0.9966465871541936,20,,,,0.00016363071798730853,0.005598622137471745,,AdamW,,fine_tuning,OneCycleLR,,0.002334540139946281,COMPLETE
11,11,0.5228487849235535,2025-01-28 18:50:35.113117,2025-01-28 18:57:31.645318,0 days 00:06:56.532201,,4,0.8073762627164024,0.9982384196518811,20,,,,0.00010718292567854523,0.0061326515808014966,,AdamW,,fine_tuning,OneCycleLR,,0.002655109109652821,COMPLETE
12,12,0.5597598552703857,2025-01-28 18:57:31.676809,2025-01-28 19:04:26.215465,0 days 00:06:54.538656,,4,0.8208343757368655,0.9971972742795927,20,,,,0.00011305690440034182,0.004816011775762198,,AdamW,,fine_tuning,OneCycleLR,,0.002993592026470708,COMPLETE
13,13,0.6246349811553955,2025-01-28 19:04:26.241428,2025-01-28 19:08:13.133994,0 days 00:03:46.892566,,5,0.8708261470678579,0.967887834497986,11,,,,0.0002740105422449879,0.0010822108195364165,,AdamW,,fine_tuning,OneCycleLR,,0.0019180532723778714,COMPLETE
14,14,0.6072127819061279,2025-01-28 19:08:13.160321,2025-01-28 19:11:39.907624,0 days 00:03:26.747303,,5,0.8659668248281064,0.9663202278259342,10,,,,0.00023634709156398107,0.00034147963474949114,,AdamW,,fine_tuning,OneCycleLR,,0.001980178169327243,COMPLETE
15,15,0.5743816494941711,2025-01-28 19:11:39.934191,2025-01-28 19:15:07.001423,0 days 00:03:27.067232,,5,0.8852791432446278,0.9597089208928751,10,,,,0.0002872244044876639,0.0002664511392976781,,AdamW,,fine_tuning,OneCycleLR,,0.0019235251568125399,COMPLETE
16,16,0.33424806594848633,2025-01-28 19:15:07.019684,2025-01-28 19:17:10.695335,0 days 00:02:03.675651,,5,0.8788319017482499,0.9661262758482405,10,,,,0.0002911460826216607,0.0005304461751662484,,AdamW,,random,OneCycleLR,,0.0015865211734172892,PRUNED
17,17,0.4552774727344513,2025-01-28 19:17:10.713194,2025-01-28 19:19:34.773008,0 days 00:02:24.059814,,5,0.8624189285954047,0.9728148155450763,11,,,,0.0003829370577034805,0.00011206340683480459,,AdamW,,fine_tuning,OneCycleLR,,0.0014373509023124869,PRUNED
18,18,0.6150380373001099,2025-01-28 19:19:34.790873,2025-01-28 19:23:41.375236,0 days 00:04:06.584363,,5,0.9249167632760815,0.942817777641537,12,,,,0.00018996451627445853,0.0014141686589203273,,AdamW,,fine_tuning,OneCycleLR,,0.004040237093798783,COMPLETE
19,19,0.30199986696243286,2025-01-28 19:23:41.401544,2025-01-28 19:25:44.934981,0 days 00:02:03.533437,,5,0.929579252952361,0.9095029793511832,12,,,,0.0005470601837853499,0.0012910751140018746,,AdamW,,random,OneCycleLR,,0.004086624039409767,PRUNED
20,20,0.6538890600204468,2025-01-28 19:25:44.953463,2025-01-28 19:29:54.016519,0 days 00:04:09.063056,,4,0.9657598220274699,0.9415381964120528,12,,,,0.000178135361195772,0.0016728580201635886,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
