,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
0,0,0.0,2025-01-28 05:42:27.093047,2025-01-28 05:44:06.130543,0 days 00:01:39.037496,8.0,7,0.9658118084445251,0.9318563294010559,17,8.307341815284441e-06,,,0.0009472961959721175,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
1,1,0.3205864131450653,2025-01-28 05:44:06.147601,2025-01-28 05:48:25.070342,0 days 00:04:18.922741,,6,0.9169765854389738,0.9282853454922604,13,,,0.16714116943161034,0.0004904539339172869,,,Adam,,random,StepLR,5.0,,COMPLETE
2,2,0.06949509680271149,2025-01-28 05:48:25.098604,2025-01-28 05:51:54.988042,0 days 00:03:29.889438,,8,,,17,,,0.17734318931932058,0.004241247429282568,,0.9492067843282642,RMSprop,,freezing,StepLR,5.0,0.1260926568334326,COMPLETE
3,3,0.0,2025-01-28 05:51:55.006878,2025-01-28 05:52:56.912544,0 days 00:01:01.905666,,8,,,13,,,0.056083539958035666,0.04948808716982222,,0.9468789822431335,SGD,,freezing,StepLR,5.0,5.129973236412686e-05,PRUNED
4,4,0.6044257283210754,2025-01-28 05:52:56.928494,2025-01-28 05:58:34.498691,0 days 00:05:37.570197,,6,,,17,,,,0.02344308086614435,0.004548729885792942,0.9727457317944981,SGD,,fine_tuning,OneCycleLR,,4.760099310748672e-05,COMPLETE
5,5,0.0,2025-01-28 05:58:34.524717,2025-01-28 06:00:12.253586,0 days 00:01:37.728869,,7,,,17,,0.2973243346544745,,0.0012548593198908888,,0.9780810792026231,RMSprop,3.0,fine_tuning,ReduceLROnPlateau,,0.5380377852807633,PRUNED
6,6,0.0,2025-01-28 06:00:12.269740,2025-01-28 06:01:49.425316,0 days 00:01:37.155576,5.0,7,,,16,4.0935047202991817e-07,,,0.016998759580392438,,0.9201578015051693,SGD,,fine_tuning,CosineAnnealingLR,,1.0003658748852571e-05,PRUNED
7,7,0.0,2025-01-28 06:01:49.440205,2025-01-28 06:02:52.211657,0 days 00:01:02.771452,,6,,,17,,0.29754314502094625,,0.0035675054331891385,,0.9775188644231251,RMSprop,2.0,freezing,ReduceLROnPlateau,,0.10566344366433493,PRUNED
8,8,0.0,2025-01-28 06:02:52.227615,2025-01-28 06:04:29.808320,0 days 00:01:37.580705,,7,,,14,,0.13439332022060319,,0.0010523472087119428,,0.902710004059513,RMSprop,4.0,random,ReduceLROnPlateau,,0.11239553251294436,PRUNED
9,9,0.0024045261088758707,2025-01-28 06:04:29.826756,2025-01-28 06:08:15.190848,0 days 00:03:45.364092,12.0,7,,,18,8.368075421103245e-07,,,0.04198573470793485,,0.9163819443057865,SGD,,freezing,CosineAnnealingLR,,3.626824917046231e-05,COMPLETE
10,10,0.6168383955955505,2025-01-28 06:08:15.216904,2025-01-28 06:15:03.662715,0 days 00:06:48.445811,,4,0.8384084637388263,0.9966465871541936,20,,,,0.00016363071798730853,0.005598622137471745,,AdamW,,fine_tuning,OneCycleLR,,0.002334540139946281,COMPLETE
