,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
0,0,0.6159012317657471,2025-01-28 11:41:47.089598,2025-01-28 11:47:53.485826,0 days 00:06:06.396228,8.0,7,0.9658118084445251,0.9318563294010559,17,8.307341815284441e-06,,,0.0009472961959721175,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
1,1,0.26705557107925415,2025-01-28 11:47:53.513236,2025-01-28 11:53:09.628024,0 days 00:05:16.114788,,6,0.9169765854389738,0.9282853454922604,13,,,0.16714116943161034,0.0004904539339172869,,,Adam,,random,StepLR,5.0,,COMPLETE
2,2,0.0,2025-01-28 11:53:09.654702,2025-01-28 11:54:11.730415,0 days 00:01:02.075713,,8,,,17,,,0.17734318931932058,0.004241247429282568,,0.9492067843282642,RMSprop,,freezing,StepLR,5.0,0.1260926568334326,PRUNED
3,3,0.0,2025-01-28 11:54:11.747074,2025-01-28 11:55:13.281610,0 days 00:01:01.534536,,8,,,13,,,0.056083539958035666,0.04948808716982222,,0.9468789822431335,SGD,,freezing,StepLR,5.0,5.129973236412686e-05,PRUNED
4,4,0.5605758428573608,2025-01-28 11:55:13.297776,2025-01-28 12:01:16.010182,0 days 00:06:02.712406,,6,,,17,,,,0.02344308086614435,0.004548729885792942,0.9727457317944981,SGD,,fine_tuning,OneCycleLR,,4.760099310748672e-05,COMPLETE
5,5,0.0,2025-01-28 12:01:16.036228,2025-01-28 12:03:04.113444,0 days 00:01:48.077216,,7,,,17,,0.2973243346544745,,0.0012548593198908888,,0.9780810792026231,RMSprop,3.0,fine_tuning,ReduceLROnPlateau,,0.5380377852807633,PRUNED
6,6,0.0,2025-01-28 12:03:04.131135,2025-01-28 12:04:51.563718,0 days 00:01:47.432583,5.0,7,,,16,4.0935047202991817e-07,,,0.016998759580392438,,0.9201578015051693,SGD,,fine_tuning,CosineAnnealingLR,,1.0003658748852571e-05,PRUNED
7,7,0.04427396506071091,2025-01-28 12:04:51.578529,2025-01-28 12:08:23.626243,0 days 00:03:32.047714,,6,,,17,,0.29754314502094625,,0.0035675054331891385,,0.9775188644231251,RMSprop,2.0,freezing,ReduceLROnPlateau,,0.10566344366433493,COMPLETE
8,8,0.0,2025-01-28 12:08:23.652186,2025-01-28 12:10:24.788429,0 days 00:02:01.136243,,7,,,14,,0.13439332022060319,,0.0010523472087119428,,0.902710004059513,RMSprop,4.0,random,ReduceLROnPlateau,,0.11239553251294436,PRUNED
9,9,0.0,2025-01-28 12:10:24.803280,2025-01-28 12:11:27.999361,0 days 00:01:03.196081,12.0,7,,,18,8.368075421103245e-07,,,0.04198573470793485,,0.9163819443057865,SGD,,freezing,CosineAnnealingLR,,3.626824917046231e-05,PRUNED
