,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
0,0,0.0,2025-01-26 19:29:33.872623,2025-01-26 19:30:02.701255,0 days 00:00:28.828632,8.0,7,0.9658118084445251,0.9318563294010559,17,8.307341815284441e-06,,,0.0009472961959721175,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
1,1,0.0,2025-01-26 19:30:02.717722,2025-01-26 19:30:31.595214,0 days 00:00:28.877492,,6,0.9169765854389738,0.9282853454922604,13,,,0.16714116943161034,0.0004904539339172869,,,Adam,,random,StepLR,5.0,,PRUNED
2,2,0.11681748181581497,2025-01-26 19:30:31.610884,2025-01-26 19:31:58.708561,0 days 00:01:27.097677,,8,,,17,,,0.17734318931932058,0.004241247429282568,,0.9492067843282642,RMSprop,,freezing,StepLR,5.0,0.1260926568334326,COMPLETE
3,3,0.004073549993336201,2025-01-26 19:31:58.731919,2025-01-26 19:33:05.427722,0 days 00:01:06.695803,,8,,,13,,,0.056083539958035666,0.04948808716982222,,0.9468789822431335,SGD,,freezing,StepLR,5.0,5.129973236412686e-05,COMPLETE
4,4,0.5362070202827454,2025-01-26 19:33:05.445223,2025-01-26 19:34:38.739917,0 days 00:01:33.294694,,6,,,17,,,,0.02344308086614435,0.004548729885792942,0.9727457317944981,SGD,,fine_tuning,OneCycleLR,,4.760099310748672e-05,COMPLETE
5,5,0.0,2025-01-26 19:34:38.761294,2025-01-26 19:35:10.681763,0 days 00:00:31.920469,,7,,,17,,0.2973243346544745,,0.0012548593198908888,,0.9780810792026231,RMSprop,3.0,fine_tuning,ReduceLROnPlateau,,0.5380377852807633,PRUNED
6,6,0.0,2025-01-26 19:35:10.698259,2025-01-26 19:35:38.371891,0 days 00:00:27.673632,5.0,7,,,16,4.0935047202991817e-07,,,0.016998759580392438,,0.9201578015051693,SGD,,fine_tuning,CosineAnnealingLR,,1.0003658748852571e-05,PRUNED
7,7,0.003799260826781392,2025-01-26 19:35:38.387032,2025-01-26 19:37:05.782169,0 days 00:01:27.395137,,6,,,17,,0.29754314502094625,,0.0035675054331891385,,0.9775188644231251,RMSprop,2.0,freezing,ReduceLROnPlateau,,0.10566344366433493,COMPLETE
8,8,0.0,2025-01-26 19:37:05.804020,2025-01-26 19:37:58.086553,0 days 00:00:52.282533,,7,,,14,,0.13439332022060319,,0.0010523472087119428,,0.902710004059513,RMSprop,4.0,random,ReduceLROnPlateau,,0.11239553251294436,PRUNED
9,9,0.007068547885864973,2025-01-26 19:37:58.101646,2025-01-26 19:39:26.902122,0 days 00:01:28.800476,12.0,7,,,18,8.368075421103245e-07,,,0.04198573470793485,,0.9163819443057865,SGD,,freezing,CosineAnnealingLR,,3.626824917046231e-05,COMPLETE
10,10,0.57729172706604,2025-01-26 19:39:26.920525,2025-01-26 19:41:25.047394,0 days 00:01:58.126869,,4,0.8384084637388263,0.9966465871541936,20,,,,0.00016363071798730853,0.005598622137471745,,AdamW,,fine_tuning,OneCycleLR,,0.002334540139946281,COMPLETE
11,11,0.49060121178627014,2025-01-26 19:41:25.065356,2025-01-26 19:43:22.052426,0 days 00:01:56.987070,,4,0.8073762627164024,0.9982384196518811,20,,,,0.00010718292567854523,0.0061326515808014966,,AdamW,,fine_tuning,OneCycleLR,,0.002655109109652821,PRUNED
12,12,0.5917251706123352,2025-01-26 19:43:22.068296,2025-01-26 19:45:19.781642,0 days 00:01:57.713346,,4,0.8208343757368655,0.9971972742795927,20,,,,0.00011305690440034182,0.004816011775762198,,AdamW,,fine_tuning,OneCycleLR,,0.002993592026470708,COMPLETE
13,13,0.48140814900398254,2025-01-26 19:45:19.799424,2025-01-26 19:47:02.221522,0 days 00:01:42.422098,,4,0.8112220802572861,0.9964953329460849,20,,,,0.00012287007194869702,0.00045222212584773236,,AdamW,,fine_tuning,OneCycleLR,,0.0027533502069439476,PRUNED
14,14,0.5695704817771912,2025-01-26 19:47:02.237110,2025-01-26 19:48:02.111394,0 days 00:00:59.874284,,5,0.859230871640529,0.9703976490501206,11,,,,0.0002661431541917317,0.00258103124759098,,AdamW,,fine_tuning,OneCycleLR,,0.004169930146528703,COMPLETE
15,15,0.5889268517494202,2025-01-26 19:48:02.136256,2025-01-26 19:49:44.554100,0 days 00:01:42.417844,,5,0.8619012533569386,0.9672973162257021,19,,,,0.00021556249416680457,0.001391502865560132,,AdamW,,fine_tuning,OneCycleLR,,0.003844372011518403,COMPLETE
16,16,0.0,2025-01-26 19:49:44.574586,2025-01-26 19:50:17.919101,0 days 00:00:33.344515,,5,0.8818612032765758,0.9633024104493736,19,,,,0.00024156467688515607,0.001185053968898113,,AdamW,,random,OneCycleLR,,0.004426143368203563,PRUNED
17,17,0.36976540088653564,2025-01-26 19:50:17.935195,2025-01-26 19:50:58.465497,0 days 00:00:40.530302,,5,0.9219853008518671,0.9008994860793419,19,,,,0.0004706314800308159,0.00011206340683480459,,AdamW,,fine_tuning,OneCycleLR,,0.003796611782365859,PRUNED
18,18,0.5538917183876038,2025-01-26 19:50:58.480359,2025-01-26 19:52:20.062159,0 days 00:01:21.581800,,5,0.8473155585428015,0.9744479459944759,15,,,,0.0002230213417328582,0.0014421087857835282,,AdamW,,fine_tuning,OneCycleLR,,0.0019047317907887917,COMPLETE
19,19,0.0,2025-01-26 19:52:20.082775,2025-01-26 19:52:54.771977,0 days 00:00:34.689202,,4,0.8826800783739855,0.9500819001592924,19,,,,0.0004365280894041921,0.0005739991774826008,,AdamW,,random,OneCycleLR,,0.005897526898060182,PRUNED
20,20,0.0,2025-01-26 19:52:54.786625,2025-01-26 19:53:23.083651,0 days 00:00:28.297026,,5,0.8309559104918343,0.9803306782912151,10,,,,0.0001711584154358844,0.00930611970012176,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
21,21,0.5882074236869812,2025-01-26 19:53:23.098677,2025-01-26 19:55:15.878327,0 days 00:01:52.779650,,4,0.8482141099224338,0.9858843775964753,20,,,,0.00015524002737316134,0.0033781583025202745,,AdamW,,fine_tuning,OneCycleLR,,0.0019392380568428096,COMPLETE
22,22,0.6089831590652466,2025-01-26 19:55:15.896378,2025-01-26 19:57:03.306865,0 days 00:01:47.410487,,4,0.8688889959610601,0.9834372088012655,19,,,,0.00010076166327744408,0.002254080146631045,,AdamW,,fine_tuning,OneCycleLR,,0.0016641902462403476,COMPLETE
23,23,0.5780254006385803,2025-01-26 19:57:03.324927,2025-01-26 19:58:44.997154,0 days 00:01:41.672227,,4,0.8852266043747337,0.9553302655327546,18,,,,0.0001001330924026854,0.0019251048878075202,,AdamW,,fine_tuning,OneCycleLR,,0.001635889924806104,COMPLETE
24,24,0.4665098488330841,2025-01-26 19:58:45.018310,2025-01-26 19:59:29.731579,0 days 00:00:44.713269,,5,0.8663930904109637,0.9842085668553344,18,,,,0.00032666964721738854,0.0006069416966244679,,AdamW,,fine_tuning,OneCycleLR,,0.005615550866227886,PRUNED
25,25,0.41731148958206177,2025-01-26 19:59:29.747365,2025-01-26 20:00:04.758592,0 days 00:00:35.011227,,4,0.8256037205045873,0.9645817730446354,19,,,,0.0001534744511156097,0.002601386134636743,,AdamW,,fine_tuning,OneCycleLR,,0.0013796155711338857,PRUNED
26,26,0.0,2025-01-26 20:00:04.774367,2025-01-26 20:00:33.190365,0 days 00:00:28.415998,,5,0.9103313489058888,0.9863970745016769,15,,,0.49173498762183987,0.0006902548653020352,,,AdamW,,fine_tuning,StepLR,2.0,0.0034017204605940447,PRUNED
27,27,0.0,2025-01-26 20:00:33.206315,2025-01-26 20:01:02.680329,0 days 00:00:29.474014,,4,0.9483977572466457,0.9380056512900864,18,,0.4963130924171012,,0.0003240821233990362,,,AdamW,5.0,fine_tuning,ReduceLROnPlateau,,0.0053213072097357825,PRUNED
28,28,0.17419572174549103,2025-01-26 20:01:02.696212,2025-01-26 20:01:34.462857,0 days 00:00:31.766645,15.0,5,0.9982286429776599,0.9755096019594591,19,9.774061413997328e-06,,,0.0001819436956454777,,,Adam,,freezing,CosineAnnealingLR,,,PRUNED
29,29,0.0,2025-01-26 20:01:34.478471,2025-01-26 20:02:03.654987,0 days 00:00:29.176516,10.0,4,0.8645994708232524,0.9892284941467893,16,1.0109297539330419e-07,,,0.001649656347917082,,,Adam,,random,CosineAnnealingLR,,,PRUNED
30,30,0.4722282886505127,2025-01-26 20:02:03.670141,2025-01-26 20:02:47.021621,0 days 00:00:43.351480,,6,0.8007105698146536,0.9616611071491794,20,,,,0.00012534949332254614,0.0008736682161181931,,AdamW,,fine_tuning,OneCycleLR,,0.0013224448692009342,PRUNED
31,31,0.47845667600631714,2025-01-26 20:02:47.037409,2025-01-26 20:03:38.424191,0 days 00:00:51.386782,,4,0.8270926672523146,0.988480763549091,20,,,,0.00014466316196571903,0.0034415969241909992,,AdamW,,fine_tuning,OneCycleLR,,0.0020544844551418735,PRUNED
32,32,0.5722687840461731,2025-01-26 20:03:38.440552,2025-01-26 20:05:25.290413,0 days 00:01:46.849861,,4,0.8513018238515586,0.97905109048843,19,,,,0.00020289920640273815,0.0020254514551623463,,AdamW,,fine_tuning,OneCycleLR,,0.003077977001200528,COMPLETE
33,33,0.5501787066459656,2025-01-26 20:05:25.312703,2025-01-26 20:07:06.643329,0 days 00:01:41.330626,,4,0.8663137057855018,0.9909922527035862,20,,,,0.0003019803517718709,0.003036320896262546,,AdamW,,fine_tuning,OneCycleLR,,0.001655120055776081,PRUNED
34,34,0.4795585870742798,2025-01-26 20:07:06.659393,2025-01-26 20:07:56.520952,0 days 00:00:49.861559,,5,0.8957008035275923,0.9703902955995946,18,,,0.4431384512901454,0.0001014809663069016,,,AdamW,,fine_tuning,StepLR,2.0,0.002290077952932394,PRUNED
35,35,0.4047754108905792,2025-01-26 20:07:56.537403,2025-01-26 20:08:31.412877,0 days 00:00:34.875474,,4,0.842949562437673,0.981294259087538,16,,,,0.0001423039577428946,0.0043766459003736664,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
36,36,0.01722080633044243,2025-01-26 20:08:31.427758,2025-01-26 20:09:02.908302,0 days 00:00:31.480544,,6,,,12,,,0.3586453883496105,0.0052865162787768035,,0.9588815174666938,SGD,,freezing,StepLR,3.0,0.0007213566726688312,PRUNED
37,37,0.0,2025-01-26 20:09:02.923754,2025-01-26 20:09:34.267659,0 days 00:00:31.343905,,4,,,19,,,,0.001061103319681575,0.007312007988040783,0.9303396115608304,RMSprop,,fine_tuning,OneCycleLR,,0.10430042932727634,PRUNED
38,38,0.0,2025-01-26 20:09:34.282791,2025-01-26 20:10:00.911144,0 days 00:00:26.628353,,8,0.819865790330163,0.992412809200241,17,,,,0.0006842522074554914,0.0015583268349514152,,AdamW,,random,OneCycleLR,,0.003112574624549819,PRUNED
39,39,0.034784745424985886,2025-01-26 20:10:00.927232,2025-01-26 20:10:37.905678,0 days 00:00:36.978446,,5,,,20,,0.4959889231585858,,0.0010568359278624155,,0.9892451355920723,RMSprop,5.0,fine_tuning,ReduceLROnPlateau,,0.10401445003338905,PRUNED
40,40,0.0022825298365205526,2025-01-26 20:10:37.920637,2025-01-26 20:11:09.290738,0 days 00:00:31.370101,15.0,6,,,18,2.053187079237173e-06,,,0.005222434286785507,,0.9328620591859513,SGD,,freezing,CosineAnnealingLR,,0.0007321254844164243,PRUNED
41,41,0.5877141952514648,2025-01-26 20:11:09.305836,2025-01-26 20:12:50.775635,0 days 00:01:41.469799,,4,0.8810560892680209,0.9530344538200709,18,,,,0.0001029025601711565,0.0018609138770531188,,AdamW,,fine_tuning,OneCycleLR,,0.0016062115862496196,COMPLETE
42,42,0.42575374245643616,2025-01-26 20:12:50.799659,2025-01-26 20:13:25.517940,0 days 00:00:34.718281,,4,0.8760465645365698,0.9485127450231017,19,,,,0.00012721470813085528,0.0034193201450994524,,AdamW,,fine_tuning,OneCycleLR,,0.001468377915872327,PRUNED
43,43,0.431695818901062,2025-01-26 20:13:25.533620,2025-01-26 20:14:05.793253,0 days 00:00:40.259633,,4,0.8982230460306432,0.9368601912338138,17,,,,0.0001973628950700384,0.0008815708812144597,,AdamW,,fine_tuning,OneCycleLR,,0.001175086341659615,PRUNED
44,44,0.6123211979866028,2025-01-26 20:14:05.809502,2025-01-26 20:15:58.594964,0 days 00:01:52.785462,,4,0.8560685003721433,0.9554137127115037,20,,,,0.0001241720642629135,0.0019838647120101315,,AdamW,,fine_tuning,OneCycleLR,,0.0019097809544456684,COMPLETE
45,45,0.5981408357620239,2025-01-26 20:15:58.616182,2025-01-26 20:17:50.332657,0 days 00:01:51.716475,,4,0.8504612399296243,0.970477194689418,20,,,,0.00039811728065715054,0.0023563737763425026,,AdamW,,fine_tuning,OneCycleLR,,0.0018773312384415862,COMPLETE
