,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
0,0,0.5111747980117798,2025-01-26 21:03:47.641535,2025-01-26 21:05:07.847827,0 days 00:01:20.206292,8.0,7,0.9658118084445251,0.9318563294010559,17,8.307341815284441e-06,,,0.0009472961959721175,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
1,1,0.40797606110572815,2025-01-26 21:05:07.866900,2025-01-26 21:06:12.764570,0 days 00:01:04.897670,,6,0.9169765854389738,0.9282853454922604,13,,,0.16714116943161034,0.0004904539339172869,,,Adam,,random,StepLR,5.0,,COMPLETE
2,2,0.16233369708061218,2025-01-26 21:06:12.782305,2025-01-26 21:07:22.485783,0 days 00:01:09.703478,,8,,,17,,,0.17734318931932058,0.004241247429282568,,0.9492067843282642,RMSprop,,freezing,StepLR,5.0,0.1260926568334326,COMPLETE
3,3,0.2482331544160843,2025-01-26 21:07:22.503593,2025-01-26 21:08:15.465631,0 days 00:00:52.962038,,8,,,13,,,0.056083539958035666,0.04948808716982222,,0.9468789822431335,SGD,,freezing,StepLR,5.0,5.129973236412686e-05,COMPLETE
4,4,0.3703068494796753,2025-01-26 21:08:15.483301,2025-01-26 21:09:38.610234,0 days 00:01:23.126933,,6,,,17,,,,0.02344308086614435,0.004548729885792942,0.9727457317944981,SGD,,fine_tuning,OneCycleLR,,4.760099310748672e-05,COMPLETE
5,5,0.0,2025-01-26 21:09:38.627978,2025-01-26 21:10:08.817491,0 days 00:00:30.189513,,7,,,17,,0.2973243346544745,,0.0012548593198908888,,0.9780810792026231,RMSprop,3.0,fine_tuning,ReduceLROnPlateau,,0.5380377852807633,PRUNED
6,6,0.44664064049720764,2025-01-26 21:10:08.835208,2025-01-26 21:11:25.049917,0 days 00:01:16.214709,5.0,7,,,16,4.0935047202991817e-07,,,0.016998759580392438,,0.9201578015051693,SGD,,fine_tuning,CosineAnnealingLR,,1.0003658748852571e-05,COMPLETE
7,7,0.039867106825113297,2025-01-26 21:11:25.070394,2025-01-26 21:11:51.590084,0 days 00:00:26.519690,,6,,,17,,0.29754314502094625,,0.0035675054331891385,,0.9775188644231251,RMSprop,2.0,freezing,ReduceLROnPlateau,,0.10566344366433493,PRUNED
8,8,0.0,2025-01-26 21:11:51.608404,2025-01-26 21:12:15.403038,0 days 00:00:23.794634,,7,,,14,,0.13439332022060319,,0.0010523472087119428,,0.902710004059513,RMSprop,4.0,random,ReduceLROnPlateau,,0.11239553251294436,PRUNED
9,9,0.2320362627506256,2025-01-26 21:12:15.421015,2025-01-26 21:12:40.383163,0 days 00:00:24.962148,12.0,7,,,18,8.368075421103245e-07,,,0.04198573470793485,,0.9163819443057865,SGD,,freezing,CosineAnnealingLR,,3.626824917046231e-05,PRUNED
